North America,2014-01-06,1.0,,1,,,1.0,,Guatemala,Central America,Mixed or unknown,United States of America,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",http://humaneborders.info/,5,"This web site is the result of ongoing partnership between the Pima County Office of the Medical Examiner, or Pima County OME, and Humane Borders, Inc. Although each organization has a distinct mission, both are committed to the common vision of raising awareness about migrant deaths and lessening the suffering of families by helping to provide closure through the identification of the deceased and the return of remains.

We provide geographic information systems-based tools that use publicly available information to grant access to high quality downloadable spatial data regarding migrant deaths. Data are updated monthly and the search tools allow any user to

query data concerning migrant deaths

view the data using on-line maps and tables

download the data for further use.

Please use these tools with sensitivity and mindfulness.

Since January of 1990, over 4,000 undocumented migrants have died within the Pima and Maricopa Counties OME jurisdiction. The information presented is stark and perhaps unsettling. However, both Humane Borders and the Pima County OME believe that the availability of this information will contribute to fulfilling our common vision."
North America,2014-01-16,1.0,,1,,,1.0,,Mexico,Central America,Violence,United States of America,US-Mexico border crossing,"near Douglas, Arizona, USA",http://bit.ly/1qfIw00,5,
Mediterranean,2014-01-19,12.0,,12,,9.0,,3.0,"Afghanistan,Syrian Arab Republic",Unknown,Drowning,Greece,Eastern Mediterranean,Waters near Greece while being towed back to Turkey,http://bit.ly/2aMCwfg,5,"Nine child­ren and three women died when their ves­sel sank near a Greek island ear­ly Mon­day mor­ning while being towed by the Greek Coast Guard.

Accor­ding to the sur­vi­vors, the Greek coast guard ves­sel was towing the boat toward the Tur­ki­sh coast at high speed when the boat cap­si­zed. Sur­vi­vors tell that they were crying out for help, given that a lar­ge num­ber of child­ren and babies were on board.

In con­trast to the survivors’s accounts, the Greek Port Aut­ho­ri­ty has alle­ged that due to bad wea­ther con­di­ti­ons the Coast Guard had laun­ched a res­cue ope­ra­ti­on to tow the boat toward the Greek island of Farm­a­ko­ni­si. Accor­ding to the Greek aut­ho­ri­ties, during the ope­ra­ti­on a lar­ge num­ber of tho­se on board gathe­red on one side of the boat, which resul­ted in its over­tur­ning and sinking.

“It is high­ly likely that this action by the Greek coast guard was an ille­gal push-back ope­ra­ti­on rather than a res­cue at sea “ said Karl Kopp, Direc­tor of Euro­pean Affairs of Pro Asyl.

In a report published in Novem­ber, Pro Asyl detail­ed how refu­gees attemp­ting to cross the EU’s exter­nal bor­ders with Tur­key are sys­te­ma­ti­cal­ly pushed back from Greek ter­ri­to­ri­al waters, the Greek islands and from the land bor­der. The Pro Asyl report spe­ci­fi­cal­ly out­lined vio­la­ti­ons that had occur­red on or in the pro­xi­mi­ty of Farmakonisi.

Having taken con­trol of the boat, the Greek aut­ho­ri­ties took respon­si­bi­li­ty for tho­se on board. Pro Asyl and ECRE call for an inde­pen­dent and effec­ti­ve inves­ti­ga­ti­on of the cir­cum­s­tances that cau­sed such loss of life. The NGOs rei­te­ra­te that push-backs are ille­gal, end­an­ger people’s lives and have to end immediately.

“The­se are Euro­pean bor­ders, mana­ged with Euro­pean money, and with the sup­port of the EU bor­der agen­cy Fron­tex. The EU has a respon­si­bi­li­ty to take all mea­su­res nee­ded to ensu­re that life is given prio­ri­ty and fun­da­men­tal rights are respec­ted at its bor­ders”, said ECRE’s Secre­ta­ry Gene­ral Micha­el Died­ring. “At the time of the Greek Pre­si­den­cy all efforts should be taken to pro­tect life and stop the­se human rights violations”.

The Euro­pean Com­mis­si­on has allo­ca­ted almost € 227,576,503 mil­li­on for Greece under the Return Fund and the Exter­nal Bor­ders Fund bet­ween 2011 and 2013.

EU-Par­lia­ment deba­te about the refu­gee tra­ge­dy of Farm­a­ko­ni­si – Euro­pean Respon­si­bi­li­ty (06.02.14)

PRO ASYL releases new report: “PUSHED BACK” (07.11.13)"
Europe,2014-01-30,1.0,0.0,1,2.0,,1.0,1.0,Iran (Islamic Republic of),Southern Asia,Vehicle accident / death linked to hazardous transport,France,English Channel to the UK,France - Calais,http://bit.ly/1icTIF9,4,"On the night of 30th January 2014 a 17 year old boy from Iran was killed by being driven over by a truck whilst trying to cross the border into the UK.

During this night, three people were trying cross the border to the UK by hiding inside a lorry. As they entered the truck they realized that the truck driver clearly saw them entering. So they were quite surprised when the driver did not say anything and shortly after drove off.

After around a 15 minute drive the truck stopped at a small parking space. The driver went to the back of the truck to shout to the people inside to come out. Because they were hiding behind boxes they had to climb over them to get out, but they could not get out quick enough.

The truck started driving while they were still trying to get out. Finally they made it to the back to jump out of the truck. In the meantime the truck was already back on the highway! Two of them were lucky and landed on their feet and could leave the highway. The third person was not that lucky. He landed on his head and could not move. Even if the other two tried to stop the traffic on the street, they could not help him. A second truck which passed hit the young boy and it tore him to pieces.

We are deeply shocked about another very tragic and brutal death here in Calais. The two people with him that night are of course very distraught. They witnessed him dying. Trying to cross to England is not an option for them any more. They left their home to find peace and protection. And they do not want to be the next one killed instead by the European border regime!

This is now the fourth death at the Calais border in the past 6 months; and at least the twenty second reported death in the past four years.

There is no justification for the countless suffering inflicted on people by the border regimes. People without the ‘right’ identity in this world have to risk their lives day in and day out while the privileged class pass by in luxury.

The greed of the capitalist trade assigns more value to the goods – taken from every corner of the world – in the 7,000 trucks that cross daily into Britain than the people having to hide amongst them.

These regimes are a brutal combination of age old racism tied up with the mantra of ‘national interest’ where people profiting from the system are quite happy to reap all the benefits of the global militarized onslaught to ‘free up’ capital and trade but are not willing to share any of the benefits or bear any of the consequences.

ID controls and the enforcement of identity papers, check points and prisons used to control the identity of populations has, and always will, result in persecution. Time and time again ID controls by authorities scanning populations in order to pick out certain categories of people is a telling sign that systematic abuse against those people is happening.

And the silence remains deafening. One death is too many. It will stop only when people rise up to make it stop. Regimes do not give up their control voluntarily.

See the full list of reported deaths at the Calais border."
Caribbean,2014-01-30,1.0,,1,,,1.0,1.0,Haiti,Caribbean,Drowning,United States of America,Caribbean to US,"Off the coast of Fort Lauderdale, Florida",http://bit.ly/1zU2LSq,1,"FORT LAUDERDALE, Fla. – Authorities have called off the search for any more survivors after several migrants came ashore in Fort Lauderdale Thursday morning.

They were found in the waters off South Ocean Lane in Fort Lauderdale just before 8 a.m. That's just north of Port Everglades Inlet.

Fort Lauderdale police say a person living at the Lago Mar Beachside Resort spotted the migrants when they arrived. Some of the people who arrived were wearing life jackets and swam to shore.

The Coast Guard says 8 people -- 7 women and one man -- were taken into custody.

Another man who was found in the water was taken to the hospital where he was pronounced dead.

""It was pretty weird, surreal for sure,"" sais Marco Arroyo

Arroyo and his friends say they were surfing, when they spotted three of the migrants as they washed up on the beach. Two of them were women. One appeared to be a young man.

""I saw three people get pulled out. One was unconscious. It was not a pretty sight,"" said Mike, another witness. ""The woman seemed OK. She was moving and walked herself out of the water when they got her to shore.""

But they say the young man was not as lucky.

""He looked like a teenager, maybe 15 or 16,"" said Justin Starrett. ""They put him on the truck to resuscitate him and just took him out.""

It's believed the migrants came from Haiti but it's unclear how long they were out in the open ocean.

""I wish hey had known the conditions today,"" said Mike. Because it wasn't a good day to go out on those waters.""

""It's really rough. If you don't know how to swim, or what you're doing, you're in trouble,"" Starrett said."
Mediterranean,2014-02-17,2.0,0.0,2,121.0,,2.0,,Somalia,Eastern Africa,Mixed or unknown,Italy,Central Mediterranean,Italy waters,http://bit.ly/V7JIqE,1,"Two bodies were found on a migrant boat rescued in the central Mediterranean, Italian authorities said Tuesday.

A rubber dinghy carrying 123 migrants - 107 men and 16 women - sent out a distress signal Monday morning to the Port Authority of Palermo, the Italian Coast Guard said.

A passing Greek merchant ship was asked to rescue the migrants. As it picked them up 145 nautical miles (27km) south-west of the island of Lampedusa, it found two passengers, both male, were dead.

The rescued migrants said they were from Somalia, according to Italian authorities."
North America,2014-02-18,1.0,,1,2.0,,1.0,,Mexico,Central America,Violence,United States of America,US-Mexico border crossing,"California-Mexico border near San Diego, California, USA",http://cnn.it/1jGgOUo,1,"Story highlights A Border Patrol agent shoots an apparently undocumented migrant near San Diego The agent was trying to detain the migrant, who threw rocks, striking agent's face A social justice group decries the trend of Border Patrol shootings toward rock throwers The migrant died at the scene

CNN —

A U.S. Border Patrol agent has shot and killed an apparently undocumented migrant who allegedly threw rocks at the agent, striking his face, on the California-Mexico border near San Diego, authorities said.

A social justice advocacy group on Wednesday criticized the Border Patrol’s use of deadly force in the Tuesday incident, saying there’s a disturbing trend of Border Patrol “killings of rock throwers, some of whom were teenagers and some whom were U.S. citizens” on the U.S.-Mexico border, said Andrea Guerrero, executive director of Alliance San Diego.

The Border Patrol declined to comment directly on this week’s incident, which is under investigation by local authorities, but in the past, the agency has highlighted how agents are seriously injured in rock-throwing incidents and resort to lethal force to protect themselves.

Guerrero said, however, some police experts advise using nonlethal force such as pepper-ball guns to respond to rock throwings.

“Border agents should adhere to best policing practices and only use lethal force as a last resort, not the only resort,” Guerrero said.

In the San Diego sector on the U.S.-Mexico border, the Border Patrol has recorded more than 400 assaults, including rock throwings, on agents since 2010. The numbers have fluctuated in recent years, from 130 assaults in 2010, 77 in 2011, 133 in 2012 to 73 in 2013, according to the agency’s statistics.

Names of the agent and the apparently undocumented migrant in this week’s deadly encounter haven’t been released by authorities.

Rock-throwing incidents have been controversial on the U.S.-Mexico border, particularly when Mexicans have thrown projectiles from the Mexico side of the international line toward Border Patrol agents on the U.S. side.

In some cases, U.S. Border Patrol agents have fired their guns at the rock throwers on the Mexico side of the border, killing the rock thrower. Mexican officials have condemned the Border Patrol’s use of lethal force as excessive.

The U.S. Border Patrol said the incident occurred in a rugged section of the Otay Mountains near San Diego where the agent was trying to arrest several immigrants who crossed the border illegally.

“During the attack the agent was struck in the head with a rock,” the Border Patrol said in a statement. “Fearing for his life the agent discharged his service issued weapon resulting in the death of one assailant.”

Two other undocumented migrants were arrested and in custody, the agency said.

The San Diego County Sheriff’s Department, which is investigating the killing, said in its account that two Border Patrol agents were trying to detain a group of suspected undocumented migrants in rugged terrain in the mountain’s White Cross area about four mile east of the Otay Mesa border crossing.

“The two agents were out of sight of each other when one of the agents was struck in the face by a rock thrown by one of the suspects,” Lt. Glenn Giannantonio said in a statement. “Fearing for his safety, the agent fired his duty pistol at the man, striking him. The man was pronounced dead at the scene.”

The border patrol agent who fired his service weapon suffered minor injuries, the sheriff’s homicide unit said."
Southern Asia,2014-02-26,1.0,0.0,1,0.0,,1.0,,Bangladesh,Southern Asia,Violence,India,,India,http://bit.ly/1vs5kco,1,"Star file photo

Indian Border Security Force (BSF) shot dead a Bangladeshi cattle trader on Panchbibi frontier in Joypurhat early today.

The victim was identified as Azizul Islam, 35, son of Tofazzal Hossain Tofa of Satbaria village in Joypurhat Sadar upazila, reports our Dinajpur correspondent.

Abdur Razzak Tarafdar, commanding officer of Joypurhat-3 Battalion of Border Guard Bangladesh (BGB), said Azizul went to India to fetch cattle crossing Uchnah border in Panchbibi upazila last night.

The BSF troops opened fire at Azizul when he was returning home through Goespur border in Kishorganj upazila of Dakkhin Dinajpur in Indian state Paschimbanga around 3:30am, the BGB official said.

Azizul was shot and died on the spot, he added.

Protesting the incident, the BGB officials held a flag meeting with their BSF counterparts and demanded immediate return of the body, the BGB official said."
Mediterranean,2014-02-27,7.0,,7,,,,,Somalia,Eastern Africa,Violence,Libya,Central Mediterranean,Libyan Coast,http://bit.ly/1lvR4Ka,1,"We recommend you close your browser window and notify the person who sent you the link.

Why was this blocked?

Links are blocked when they violate our Acceptable Use Policy. Violations include:

The link may be listed on a website blocklisting service.

The link may have been reported to Bitly by a member of the public.

The link may contain malware (software designed to harm your computer), attempt to collect your personal information for nefarious purposes, or otherwise contain harmful and/or illegal content.

The link may be attempting to hide the final destination.

The link may lead to a forgery of another website or may infringe the rights of others.

If you believe this has been blocked in error, please contact Bitly via this form."
North America,2014-03-04,1.0,,1,,1.0,,,Guatemala,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States of America,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",http://humaneborders.info/,5,"This web site is the result of ongoing partnership between the Pima County Office of the Medical Examiner, or Pima County OME, and Humane Borders, Inc. Although each organization has a distinct mission, both are committed to the common vision of raising awareness about migrant deaths and lessening the suffering of families by helping to provide closure through the identification of the deceased and the return of remains.

We provide geographic information systems-based tools that use publicly available information to grant access to high quality downloadable spatial data regarding migrant deaths. Data are updated monthly and the search tools allow any user to

query data concerning migrant deaths

view the data using on-line maps and tables

download the data for further use.

Please use these tools with sensitivity and mindfulness.

Since January of 1990, over 4,000 undocumented migrants have died within the Pima and Maricopa Counties OME jurisdiction. The information presented is stark and perhaps unsettling. However, both Humane Borders and the Pima County OME believe that the availability of this information will contribute to fulfilling our common vision."
